"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","HUR","TOT","PC_LF","A","2005",7.783333,"B"
"SWE","HUR","TOT","PC_LF","A","2006",7.241667,
"SWE","HUR","TOT","PC_LF","A","2007",6.316667,
"SWE","HUR","TOT","PC_LF","A","2008",6.35,
"SWE","HUR","TOT","PC_LF","A","2009",8.483334,
"SWE","HUR","TOT","PC_LF","A","2010",8.775,
"SWE","HUR","TOT","PC_LF","A","2011",7.95,
"SWE","HUR","TOT","PC_LF","A","2012",8.15,
"SWE","HUR","TOT","PC_LF","A","2013",8.208333,
"SWE","HUR","TOT","PC_LF","A","2014",8.1,
"SWE","HUR","TOT","PC_LF","A","2015",7.591667,
"SWE","HUR","TOT","PC_LF","A","2016",7.15,
"SWE","HUR","TOT","PC_LF","A","2017",6.858333,
"SWE","HUR","TOT","PC_LF","A","2018",6.516667,"B"
"SWE","HUR","TOT","PC_LF","A","2019",6.975,
"SWE","HUR","TOT","PC_LF","A","2020",8.541667,
"CHE","HUR","TOT","PC_LF","A","2010",4.803626,
"CHE","HUR","TOT","PC_LF","A","2011",4.401669,
"CHE","HUR","TOT","PC_LF","A","2012",4.484188,
"CHE","HUR","TOT","PC_LF","A","2013",4.747292,
"CHE","HUR","TOT","PC_LF","A","2014",4.829988,
"CHE","HUR","TOT","PC_LF","A","2015",4.800639,
"CHE","HUR","TOT","PC_LF","A","2016",4.91918,
"CHE","HUR","TOT","PC_LF","A","2017",4.797587,
"CHE","HUR","TOT","PC_LF","A","2018",4.714414,
"CHE","HUR","TOT","PC_LF","A","2019",4.394452,
"CHE","HUR","TOT","PC_LF","A","2020",4.815328,"B"
"TUR","HUR","TOT","PC_LF","A","2005",9.508333,
"TUR","HUR","TOT","PC_LF","A","2006",9.066667,"B"
"TUR","HUR","TOT","PC_LF","A","2007",9.158334,
"TUR","HUR","TOT","PC_LF","A","2008",10.025,
"TUR","HUR","TOT","PC_LF","A","2009",13.04167,
"TUR","HUR","TOT","PC_LF","A","2010",11.15,
"TUR","HUR","TOT","PC_LF","A","2011",9.141666,
"TUR","HUR","TOT","PC_LF","A","2012",8.433333,
"TUR","HUR","TOT","PC_LF","A","2013",9.05,"B"
"TUR","HUR","TOT","PC_LF","A","2014",9.883333,
"TUR","HUR","TOT","PC_LF","A","2015",10.33333,
"TUR","HUR","TOT","PC_LF","A","2016",10.90833,
"TUR","HUR","TOT","PC_LF","A","2017",10.925,
"TUR","HUR","TOT","PC_LF","A","2018",10.89167,
"TUR","HUR","TOT","PC_LF","A","2019",13.74167,
"TUR","HUR","TOT","PC_LF","A","2020",13.14167,
"GBR","HUR","TOT","PC_LF","A","2005",4.8,
"GBR","HUR","TOT","PC_LF","A","2006",5.425,
"GBR","HUR","TOT","PC_LF","A","2007",5.325,
"GBR","HUR","TOT","PC_LF","A","2008",5.7,
"GBR","HUR","TOT","PC_LF","A","2009",7.625,
"GBR","HUR","TOT","PC_LF","A","2010",7.875,
"GBR","HUR","TOT","PC_LF","A","2011",8.125,
"GBR","HUR","TOT","PC_LF","A","2012",7.975,
"GBR","HUR","TOT","PC_LF","A","2013",7.6,
"GBR","HUR","TOT","PC_LF","A","2014",6.175,
"GBR","HUR","TOT","PC_LF","A","2015",5.35,
"GBR","HUR","TOT","PC_LF","A","2016",4.9,
"GBR","HUR","TOT","PC_LF","A","2017",4.425,
"GBR","HUR","TOT","PC_LF","A","2018",4.1,
"GBR","HUR","TOT","PC_LF","A","2019",3.825,
"GBR","HUR","TOT","PC_LF","A","2020",4.575,
"USA","HUR","TOT","PC_LF","A","2005",5.066667,
"USA","HUR","TOT","PC_LF","A","2006",4.616667,
"USA","HUR","TOT","PC_LF","A","2007",4.616667,
"USA","HUR","TOT","PC_LF","A","2008",5.775,
"USA","HUR","TOT","PC_LF","A","2009",9.266666,
"USA","HUR","TOT","PC_LF","A","2010",9.616667,
"USA","HUR","TOT","PC_LF","A","2011",8.95,
"USA","HUR","TOT","PC_LF","A","2012",8.066667,
"USA","HUR","TOT","PC_LF","A","2013",7.375,
"USA","HUR","TOT","PC_LF","A","2014",6.166667,
