Name,Party,Election,Politician ID,Riding ID,Province,Gender,ranfor44,reelected44,QuestionPeriod,PvtMemBills,StatementsByMembers,Backbencher,DOB,AgeOnElectionDay,YearsServedAtElection
Jack Harris,New Democratic Party,43,554,10006,NL,M,No,.,16,0,5,1,1948-10-27,72,16.2
Alexandra Mendès,Liberal Party of Canada,43,562,24017,QC,F,Yes,Yes,2,0,18,1,1963-11-03,57,8.471232877
Justin Trudeau,Liberal Party of Canada,43,567,24055,QC,M,Yes,Yes,1523,0,0,0,1971-12-25,49,12.94246575
Marc Garneau,Liberal Party of Canada,43,572,24053,QC,M,Yes,Yes,136,0,0,0,1949-02-23,72,12.94246575
Carol Hughes,New Democratic Party,43,573,35002,ON,F,Yes,Yes,0,1,6,1,1958-11-26,62,12.94246575
Phil McColeman,Conservative Party of Canada,43,575,35013,ON,M,No,.,5,0,1,0,1954-03-15,67,12.94246575
Rob Oliphant,Liberal Party of Canada,43,576,35021,ON,M,Yes,Yes,45,0,3,1,1956-01-07,65,8.471232877
Kirsty Duncan,Liberal Party of Canada,43,577,35029,ON,F,Yes,Yes,2,0,8,1,1966-10-31,54,12.94246575
Ben Lobb,Conservative Party of Canada,43,580,35040,ON,M,Yes,Yes,1,0,0,1,1976-09-10,45,12.94246575
Peter Kent,Conservative Party of Canada,43,594,35104,ON,M,No,.,25,0,2,0,1943-07-27,78,12.94246575
Niki Ashton,New Democratic Party,43,598,46003,MB,F,Yes,Yes,32,0,1,1,1982-09-09,39,12.94246575
Candice Bergen,Conservative Party of Canada,43,600,46007,MB,F,Yes,Yes,157,0,1,0,1964-09-28,56,12.94246575
Randy Hoback,Conservative Party of Canada,43,603,47006,SK,M,Yes,Yes,12,1,1,0,1967-12-19,53,12.94246575
Kelly Block,Conservative Party of Canada,43,604,47004,SK,F,Yes,Yes,12,1,5,0,1961-11-30,59,12.94246575
Tim Uppal,Conservative Party of Canada,43,606,48017,AB,M,Yes,Yes,11,0,2,0,1974-11-17,46,8.931506849
Earl Dreeshen,Conservative Party of Canada,43,610,48029,AB,M,Yes,Yes,9,0,2,0,1953-07-09,68,12.94246575
Blake Richards,Conservative Party of Canada,43,611,48001,AB,M,Yes,Yes,14,0,1,0,1974-11-08,46,12.94246575
Cathy McLeod,Conservative Party of Canada,43,612,59013,BC,F,No,.,27,1,6,0,1957-06-12,64,12.94246575
Alice Wong,Conservative Party of Canada,43,614,59025,BC,F,Yes,No,6,0,3,0,1948-06-30,73,12.94246575
Don Davies,New Democratic Party,43,616,59038,BC,M,Yes,Yes,37,10,4,1,1963-01-16,58,12.94246575
Kyle Seeback,Conservative Party of Canada,43,784,35022,ON,M,Yes,Yes,13,0,1,0,1970-08-19,51,6.383561644
Bob Saroya,Conservative Party of Canada,43,869,35056,ON,M,Yes,No,8,1,8,0,1952-02-03,69,5.926027397
Alexandre Boulerice,New Democratic Party,43,939,24064,QC,M,Yes,Yes,66,0,3,1,1973-06-18,48,10.39452055
Elizabeth May,Green Party of Canada,43,1121,59027,BC,F,Yes,Yes,0,2,0,1,1954-06-09,67,10.39452055
Ron McKinnon,Liberal Party of Canada,43,1515,59008,BC,M,Yes,Yes,3,0,2,1,1951-08-08,70,5.926027397
Marc Dalton,Conservative Party of Canada,43,2024,59022,BC,M,Yes,Yes,12,0,3,0,1960-06-03,61,1.917808219
Randall Garrison,New Democratic Party,43,2038,59026,BC,M,Yes,Yes,9,3,3,1,1950-08-27,71,10.39452055
Terry Duguid,Liberal Party of Canada,43,2161,46013,MB,M,Yes,Yes,15,0,2,1,1954-01-01,67,5.926027397
Sean Casey,Liberal Party of Canada,43,3466,11002,PE,M,Yes,Yes,0,0,0,1,1963-05-16,58,10.39452055
Stéphane Bergeron,Bloc Québécois,43,3849,24049,QC,M,Yes,Yes,39,0,7,1,1965-01-28,56,13.96712329
Kerry-Lynne Findlay,Conservative Party of Canada,43,4201,59030,BC,F,Yes,Yes,0,0,0,0,1955-01-12,66,6.383561644
Kevin Lamoureux,Liberal Party of Canada,43,4264,46012,MB,M,Yes,Yes,33,0,11,1,1962-01-22,59,10.81643836
Tony Baldinelli,Conservative Party of Canada,43,4648,35067,ON,M,Yes,Yes,0,0,0,0,1964-11-24,56,1.917808219
Mario Beaulieu,Bloc Québécois,43,6424,24033,QC,M,Yes,Yes,40,0,3,1,1959-02-01,62,5.926027397
Larry Maguire,Conservative Party of Canada,43,6961,46001,MB,M,Yes,Yes,0,1,0,1,1949-06-01,72,7.824657534
Bernard Généreux,Conservative Party of Canada,43,8347,24051,QC,M,Yes,Yes,29,0,3,0,1962-04-23,59,7.4
John Williamson,Conservative Party of Canada,43,8446,13008,NB,M,Yes,Yes,23,0,2,0,1970-01-30,51,6.383561644
Pierre Paul-Hus,Conservative Party of Canada,43,8577,24019,QC,M,Yes,Yes,180,1,6,0,1969-11-05,51,5.926027397
Jagmeet Singh,New Democratic Party,43,8714,59003,BC,M,Yes,Yes,0,0,0,1,1979-01-02,42,2.569863014
Bryan May,Liberal Party of Canada,43,8726,35016,ON,M,Yes,Yes,4,1,1,1,1974-09-19,47,5.926027397
Karen McCrimmon,Liberal Party of Canada,43,8728,35041,ON,F,No,.,7,0,3,1,1959-01-01,62,5.926027397
Peter Fonseca,Liberal Party of Canada,43,8822,35059,ON,M,Yes,Yes,5,0,11,1,1966-10-05,54,5.926027397
Anita Vandenbeld,Liberal Party of Canada,43,8871,35079,ON,F,Yes,Yes,28,0,10,1,1971-12-03,49,5.926027397
Irek Kusmierczyk,Liberal Party of Canada,43,8956,35116,ON,M,Yes,Yes,32,0,4,1,1978-01-16,43,1.917808219
Michelle Rempel,Conservative Party of Canada,43,9042,48009,AB,F,Yes,Yes,208,0,2,0,1980-02-14,41,10.39726027
Mark Strahl,Conservative Party of Canada,43,9130,59006,BC,M,Yes,Yes,13,1,2,0,1978-03-26,43,10.39452055
Dan Albas,Conservative Party of Canada,43,9172,59005,BC,M,Yes,Yes,21,1,5,0,1976-12-02,44,10.39452055
Bob Zimmer,Conservative Party of Canada,43,9183,59024,BC,M,Yes,Yes,13,0,2,0,1968-10-20,52,10.39452055
Erin O'Toole,Conservative Party of Canada,43,9243,35023,ON,M,Yes,Yes,426,0,1,0,1973-01-22,48,8.821917808
Yvonne Jones,Liberal Party of Canada,43,9255,10004,NL,F,Yes,Yes,4,0,5,1,1968-03-15,53,8.361643836
Ted Falk,Conservative Party of Canada,43,9263,46008,MB,M,Yes,Yes,10,0,2,1,1960-05-23,61,7.824657534
Chrystia Freeland,Liberal Party of Canada,43,9265,35110,ON,F,Yes,Yes,405,0,0,0,1968-08-02,53,7.824657534
Emmanuel Dubourg,Liberal Party of Canada,43,9271,24015,QC,M,Yes,Yes,9,1,5,1,1958-12-26,62,7.824657534
David Yurdiga,Conservative Party of Canada,43,9276,48023,AB,M,No,.,7,0,1,0,1964-03-26,57,7.230136986
John Barlow,Conservative Party of Canada,43,9281,48022,AB,M,Yes,Yes,28,1,9,0,1971-10-13,49,7.230136986
Adam Vaughan,Liberal Party of Canada,43,9289,35101,ON,M,No,.,31,0,7,1,1961-07-03,60,7.230136986
Gord Johns,New Democratic Party,43,9318,59009,BC,M,Yes,Yes,33,3,4,1,1969-11-29,51,5.926027397
Brad Vis,Conservative Party of Canada,43,9325,59017,BC,M,Yes,Yes,31,0,5,0,1984-01-01,37,1.917808219
Luc Berthold,Conservative Party of Canada,43,9332,24047,QC,M,Yes,Yes,113,0,4,0,1965-01-01,56,5.926027397
Marilène Gill,Bloc Québécois,43,9337,24046,QC,F,Yes,Yes,58,1,12,1,1977-03-09,44,5.926027397
Gérard Deltell,Conservative Party of Canada,43,9341,24045,QC,F,Yes,Yes,242,0,2,0,1964-08-08,57,5.926027397
Joël Lightbound,Liberal Party of Canada,43,9347,24044,QC,M,Yes,Yes,48,0,4,1,1988-02-08,33,5.926027397
Denis Trudel,Bloc Québécois,43,9353,24043,QC,M,Yes,Yes,7,0,3,1,1963-07-18,58,1.917808219
Sherry Romanado,Liberal Party of Canada,43,9364,24041,QC,F,Yes,Yes,13,0,1,1,1974-04-12,47,5.926027397
Fayçal EL-Khoury,Liberal Party of Canada,43,9366,24040,QC,M,Yes,Yes,3,0,5,1,1955-05-15,66,5.926027397
Simon Marcil,Bloc Québécois,43,9380,24048,QC,M,No,.,2,1,0,1,,,5.926027397
Kerry Diotte,Conservative Party of Canada,43,9382,48015,AB,M,Yes,No,3,0,2,0,1956-02-26,65,5.926027397
Rachael Thomas,Conservative Party of Canada,43,9400,48026,AB,F,Yes,Yes,55,0,7,0,01-Jan-85,36,5.926027397
René Arseneault,Liberal Party of Canada,43,9408,13005,NB,M,Yes,Yes,7,0,8,1,1966-07-01,55,5.926027397
Ginette Petitpas Taylor,Liberal Party of Canada,43,9415,13007,NB,F,Yes,Yes,7,0,2,1,1968-01-01,53,5.926027397
Pat Finnigan,Liberal Party of Canada,43,9417,13006,NB,M,No,.,7,0,4,1,01-Jan-55,66,5.926027397
Serge Cormier,Liberal Party of Canada,43,9419,13001,NB,M,Yes,Yes,2,0,3,1,01-Jan-76,45,5.926027397
Joël Godin,Conservative Party of Canada,43,9421,24058,QC,M,Yes,Yes,0,0,0,0,1965-03-14,56,5.926027397
Julie Dzerowicz,Liberal Party of Canada,43,9430,35018,ON,F,Yes,Yes,7,1,5,1,1979-12-29,41,5.926027397
Wayne Long,Liberal Party of Canada,43,9437,13009,NB,M,Yes,Yes,2,0,6,1,13-Apr-63,58,5.926027397
Kelly McCauley,Conservative Party of Canada,43,9445,48020,AB,M,Yes,Yes,16,0,2,0,1964-06-23,57,5.926027397
Tom Kmiec,Conservative Party of Canada,43,9453,48011,AB,M,Yes,Yes,13,2,3,1,1981-07-31,40,5.926027397
Luc Thériault,Bloc Québécois,43,9460,24050,QC,M,Yes,Yes,27,1,5,1,1960-01-31,61,5.926027397
Anthony Housefather,Liberal Party of Canada,43,9466,24052,QC,M,Yes,Yes,5,0,6,1,1973-01-25,48,5.926027397
Rachel Bendayan,Liberal Party of Canada,43,9475,24054,QC,F,Yes,Yes,50,0,11,1,1980-05-10,41,2.569863014
William Amos,Liberal Party of Canada,43,9490,24057,QC,M,No,.,30,0,5,1,1974-12-04,46,5.926027397
Jean-Yves Duclos,Liberal Party of Canada,43,9501,24059,QC,M,Yes,Yes,38,0,0,0,1965-01-01,56,5.926027397
Todd Doherty,Conservative Party of Canada,43,9547,59004,BC,M,Yes,Yes,24,2,9,0,01-Jan-68,53,5.926027397
Daniel Blaikie,New Democratic Party,43,9549,46005,MB,M,Yes,Yes,15,2,5,1,1984-01-01,37,5.926027397
Richard Bragdon,Conservative Party of Canada,43,9552,13010,NB,M,Yes,Yes,10,1,4,0,1975-01-01,46,1.917808219
Robert Kitchen,Conservative Party of Canada,43,9554,47013,SK,M,Yes,Yes,0,0,0,0,01-Jan-57,64,5.926027397
James Maloney,Liberal Party of Canada,43,9556,35028,ON,M,Yes,Yes,4,0,3,1,1964-07-16,57,5.926027397
Karen Vecchio,Conservative Party of Canada,43,9568,35025,ON,F,Yes,Yes,24,0,8,0,1971-03-06,50,5.926027397
Marco Mendicino,Liberal Party of Canada,43,9572,35024,ON,M,Yes,Yes,75,0,0,0,1973-07-28,48,5.926027397
Gabriel Ste-Marie,Bloc Québécois,43,9589,24031,QC,M,Yes,Yes,35,1,0,1,,,5.926027397
Raj Saini,Liberal Party of Canada,43,9600,35045,ON,M,Yes,No,3,0,3,1,21-Aug-67,54,5.926027397
Mark Gerretsen,Liberal Party of Canada,43,9603,35044,ON,M,Yes,Yes,46,0,4,1,1975-06-05,46,5.926027397
Marwan Tabbara,Liberal Party of Canada,43,9608,35047,ON,M,No,.,13,0,3,1,1984-08-23,37,5.926027397
Tim Louis,Liberal Party of Canada,43,9612,35046,ON,M,Yes,Yes,5,0,5,1,1968-01-01,53,1.917808219
Deb Schulte,Liberal Party of Canada,43,9622,35043,ON,F,Yes,No,38,0,0,0,01-Jan-60,61,5.926027397
Ron Liepert,Conservative Party of Canada,43,9630,48012,AB,M,Yes,Yes,3,0,3,1,1949-10-08,71,5.926027397
Terry Beech,Liberal Party of Canada,43,9643,59002,BC,M,Yes,Yes,19,0,1,1,1981-04-02,40,5.926027397
Pat Kelly,Conservative Party of Canada,43,9649,48010,AB,M,Yes,Yes,26,0,5,0,01-Jan-71,50,5.926027397
Anju Dhillon,Liberal Party of Canada,43,9656,24024,QC,F,Yes,Yes,8,0,7,1,1979-01-01,42,5.926027397
Steven MacKinnon,Liberal Party of Canada,43,9664,24027,QC,M,Yes,Yes,95,0,7,1,1966-09-28,54,5.926027397
Diane Lebouthillier,Liberal Party of Canada,43,9666,24026,QC,F,Yes,Yes,52,0,0,0,1959-02-05,62,5.926027397
Brenda Shanahan,Liberal Party of Canada,43,9671,24021,QC,F,Yes,Yes,16,0,7,1,1958-01-01,63,5.926027397
Marie-Claude Bibeau,Liberal Party of Canada,43,9678,24023,QC,F,Yes,Yes,88,0,0,0,1970-04-04,51,5.926027397
Filomena Tassi,Liberal Party of Canada,43,9707,35038,ON,F,Yes,Yes,15,0,0,0,1962-01-01,59,5.926027397
Dan Vandal,Liberal Party of Canada,43,9713,46009,MB,M,Yes,Yes,5,0,0,0,1960-04-18,61,5.926027397
James Cumming,Conservative Party of Canada,43,9718,48014,AB,M,Yes,No,47,1,6,0,1961-03-07,60,1.917808219
Francis Drouin,Liberal Party of Canada,43,9726,35031,ON,M,Yes,Yes,11,0,12,1,1983-10-07,37,5.926027397
Lloyd Longfield,Liberal Party of Canada,43,9731,35032,ON,M,Yes,Yes,8,0,5,1,Oct-56,64,5.926027397
Jamie Schmale,Conservative Party of Canada,43,9741,35034,ON,M,Yes,Yes,24,0,5,0,1976-08-10,45,5.926027397
Bob Bratina,Liberal Party of Canada,43,9747,35036,ON,M,No,.,4,0,1,1,1944-01-01,77,5.926027397
Scott Duvall,New Democratic Party,43,9753,35037,ON,M,No,.,7,3,3,1,1956-07-01,65,5.926027397
Peter Fragiskatos,Liberal Party of Canada,43,9775,35052,ON,M,Yes,Yes,3,0,2,1,1981-04-30,40,5.926027397
Kate Young,Liberal Party of Canada,43,9781,35053,ON,F,No,.,3,0,3,1,1954-01-01,67,5.926027397
Kevin Waugh,Conservative Party of Canada,43,9802,47010,SK,M,Yes,Yes,13,1,4,1,1956-06-09,65,5.926027397
Cathay Wagantall,Conservative Party of Canada,43,9804,47014,SK,F,Yes,Yes,14,1,5,0,1956-03-07,65,5.926027397
Martin Shields,Conservative Party of Canada,43,9812,48003,AB,M,Yes,Yes,18,0,0,0,1948-04-28,73,5.926027397
Len Webber,Conservative Party of Canada,43,9818,48005,AB,M,Yes,Yes,2,1,2,1,1960-11-10,60,5.926027397
Bobby Morrissey,Liberal Party of Canada,43,9834,11003,PE,M,Yes,Yes,0,0,2,1,1954-11-18,66,5.926027397
David Lametti,Liberal Party of Canada,43,9835,24037,QC,M,Yes,Yes,104,0,0,0,1962-08-10,59,5.926027397
Greg Fergus,Liberal Party of Canada,43,9855,24030,QC,M,Yes,Yes,12,0,7,1,1969-05-31,52,5.926027397
Darren Fisher,Liberal Party of Canada,43,9869,12004,NS,M,Yes,Yes,82,0,4,1,1965-09-10,56,5.926027397
Andy Fillmore,Liberal Party of Canada,43,9873,12005,NS,M,Yes,Yes,12,0,1,1,1966-04-25,55,5.926027397
Sean Fraser,Liberal Party of Canada,43,9875,12002,NS,M,Yes,Yes,175,0,2,1,1984-06-01,37,5.926027397
Ahmed Hussen,Liberal Party of Canada,43,9892,35120,ON,M,Yes,Yes,82,0,0,0,1976-01-01,45,5.926027397
Jenny Kwan,New Democratic Party,43,9899,59035,BC,F,Yes,Yes,31,1,6,1,1967-01-01,54,5.926027397
Marc G Serré,Liberal Party of Canada,43,9918,35069,ON,M,Yes,Yes,15,0,3,1,1967-01-28,54,5.926027397
Michael Cooper,Conservative Party of Canada,43,9922,48031,AB,M,Yes,Yes,17,1,6,0,08-Mar-84,37,5.926027397
Gagan Sikand,Liberal Party of Canada,43,9927,35063,ON,M,No,.,0,0,1,1,1984-11-21,36,5.926027397
Sven Spengemann,Liberal Party of Canada,43,9935,35061,ON,M,Yes,Yes,5,0,2,1,1966-10-03,54,5.926027397
Iqra Khalid,Liberal Party of Canada,43,9937,35060,ON,F,Yes,Yes,9,0,5,1,1986-11-20,34,5.926027397
Vance Badawey,Liberal Party of Canada,43,9942,35066,ON,M,Yes,Yes,6,0,4,1,1964-10-05,56,5.926027397
Chandra Arya,Liberal Party of Canada,43,9946,35064,ON,M,Yes,Yes,0,0,9,1,1963-07-28,58,5.926027397
Darrell Samson,Liberal Party of Canada,43,9954,12008,NS,M,Yes,Yes,11,0,7,1,1958-10-13,62,5.926027397
Matt Jeneroux,Conservative Party of Canada,43,9958,48018,AB,M,Yes,Yes,19,1,3,0,1981-01-01,40,5.926027397
Michael Kram,Conservative Party of Canada,43,9971,47009,SK,M,Yes,Yes,11,0,1,0,1978-12-20,42,1.917808219
Ziad Aboultaif,Conservative Party of Canada,43,9985,48016,AB,M,Yes,Yes,11,0,2,0,1966-09-10,55,5.926027397
Mélanie Joly,Liberal Party of Canada,43,9999,24003,QC,F,Yes,Yes,147,0,0,0,1979-01-16,42,5.926027397
Harjit S. Sajjan,Liberal Party of Canada,43,10014,59040,BC,M,Yes,Yes,181,0,0,0,1970-09-06,51,5.926027397
Stéphane Lauzon,Liberal Party of Canada,43,10029,24005,QC,M,Yes,Yes,8,0,5,1,1966-04-27,55,5.926027397
Angelo Iacono,Liberal Party of Canada,43,10031,24004,QC,M,Yes,Yes,10,0,11,1,1965-03-17,56,5.926027397
Ruby Sahota,Liberal Party of Canada,43,10044,35010,ON,F,Yes,Yes,7,0,3,1,,,5.926027397
Jonathan Wilkinson,Liberal Party of Canada,43,10050,59021,BC,M,Yes,Yes,133,0,0,0,1965-06-11,56,5.926027397
Sonia Sidhu,Liberal Party of Canada,43,10053,35011,ON,F,Yes,Yes,9,1,4,1,1968-01-03,53,5.926027397
Paul Manly,Green Party of Canada,43,10056,59018,BC,M,Yes,No,31,2,4,1,1964-04-19,57,2.378082192
Ali Ehsassi,Liberal Party of Canada,43,10068,35115,ON,M,Yes,Yes,19,0,5,1,1970-04-24,51,5.926027397
Bardish Chagger,Liberal Party of Canada,43,10075,35112,ON,F,Yes,Yes,61,0,0,0,1980-04-06,41,5.926027397
Francesco Sorbara,Liberal Party of Canada,43,10081,35111,ON,M,Yes,Yes,16,0,6,1,1971-02-28,50,5.926027397
Shannon Stubbs,Conservative Party of Canada,43,10099,48025,AB,F,Yes,Yes,68,1,4,0,1979-12-08,41,5.926027397
Karina Gould,Liberal Party of Canada,43,10117,35015,ON,F,Yes,Yes,35,0,0,0,1987-06-28,34,5.926027397
Arnold Viersen,Conservative Party of Canada,43,10131,48028,AB,M,Yes,Yes,4,1,3,0,1986-05-03,35,5.926027397
Terry Sheehan,Liberal Party of Canada,43,10134,35092,ON,M,Yes,Yes,3,0,1,1,1970-01-01,51,5.926027397
Jim Carr,Liberal Party of Canada,43,10146,46014,MB,M,Yes,Yes,0,0,0,0,1951-10-11,69,5.926027397
Xavier Barsalou-Duval,Bloc Québécois,43,10162,24014,QC,M,Yes,Yes,34,1,1,1,1988-11-10,32,5.926027397
Bernadette Jordan,Liberal Party of Canada,43,10182,12009,NS,F,Yes,No,47,0,0,0,1963-04-07,58,5.926027397
Yves Perron,Bloc Québécois,43,10193,24012,QC,M,Yes,Yes,26,0,8,1,,,1.917808219
Julie Dabrusin,Liberal Party of Canada,43,10204,35109,ON,F,Yes,Yes,29,0,6,1,1971-04-16,50,5.926027397
Randeep Singh Sarai,Liberal Party of Canada,43,10214,59032,BC,M,Yes,Yes,10,0,4,1,1975-04-15,46,5.926027397
Paul Lefebvre,Liberal Party of Canada,43,10228,35103,ON,M,No,.,44,1,9,1,01-Jan-74,47,5.926027397
Patty Hajdu,Liberal Party of Canada,43,10240,35106,ON,F,Yes,Yes,538,0,0,0,1966-11-03,54,5.926027397
Gudie Hutchings,Liberal Party of Canada,43,10248,10005,NL,F,Yes,Yes,18,0,2,1,1959-09-01,62,5.926027397
Seamus O'Regan,Liberal Party of Canada,43,10256,10007,NL,M,Yes,Yes,101,0,0,0,1971-01-18,50,5.926027397
Kenneth McDonald,Liberal Party of Canada,43,10263,10001,NL,M,Yes,Yes,3,0,2,1,Jun-59,62,5.926027397
Jody Wilson-Raybould,Independent,43,10273,59036,BC,F,No,.,19,0,0,1,1971-03-23,50,5.926027397
Kenny Chiu,Conservative Party of Canada,43,10274,59031,BC,M,Yes,No,15,1,7,0,1965-01-01,56,1.917808219
Rachel Blaney,New Democratic Party,43,10277,59037,BC,F,Yes,Yes,42,1,3,1,1974-09-18,47,5.926027397
Chris Bittle,Liberal Party of Canada,43,10281,35089,ON,M,Yes,Yes,49,0,1,1,1979-02-17,42,5.926027397
Arif Virani,Liberal Party of Canada,43,10296,35081,ON,M,Yes,Yes,40,0,8,1,1971-11-23,49,5.926027397
John Nater,Conservative Party of Canada,43,10301,35083,ON,M,Yes,Yes,8,1,3,0,1984-02-14,37,5.926027397
Jennifer O'Connell,Liberal Party of Canada,43,10309,35085,ON,F,Yes,Yes,51,0,5,1,1983-01-01,38,5.926027397
Maryam Monsef,Liberal Party of Canada,43,10312,35084,ON,F,Yes,No,62,0,0,0,1984-11-07,36,5.926027397
Majid Jowhari,Liberal Party of Canada,43,10314,35087,ON,M,Yes,Yes,5,1,6,1,1960-10-24,60,5.926027397
Alain Rayes,Conservative Party of Canada,43,10340,24061,QC,M,Yes,Yes,127,1,5,0,1971-12-11,49,5.926027397
Monique Pauzé,Bloc Québécois,43,10345,24060,QC,F,Yes,Yes,19,0,3,1,1950-01-01,71,5.926027397
Rhéal Fortin,Bloc Québécois,43,10348,24063,QC,M,Yes,Yes,54,0,3,1,,,5.926027397
Yves Robillard,Liberal Party of Canada,43,10359,24065,QC,M,Yes,Yes,8,0,5,1,01-Jan-42,79,5.926027397
Catherine McKenna,Liberal Party of Canada,43,10380,35075,ON,F,No,.,43,0,0,0,1971-08-05,50,5.926027397
